Order_ID,Order_Date,Product,Category,City,Quantity,Sales,Profit,Month,Month_Name,Profit_Margin
1001.0,2026-01-05,Laptop,Electronics,Pune,2.0,120000.0,18000.0,1.0,January,15.0
1002.0,2026-01-07,Mobile,Electronics,Mumbai,3.0,90000.0,13500.0,1.0,January,15.0
1003.0,2026-01-10,Office Chair,Furniture,Nashik,5.0,50000.0,7500.0,1.0,January,15.0
1004.0,2026-01-12,Notebook,Stationery,Aurangabad,20.0,10000.0,2000.0,1.0,January,20.0
1005.0,2026-01-15,Headphones,Electronics,Pune,4.0,16000.0,3200.0,1.0,January,20.0
1006.0,2026-01-18,Table,Furniture,Mumbai,2.0,30000.0,4500.0,1.0,January,15.0
1007.0,2026-01-20,Printer,Electronics,Nashik,2.0,36000.0,5400.0,1.0,January,15.0
1008.0,2026-01-22,Pen Set,Stationery,Pune,25.0,7500.0,1500.0,1.0,January,20.0
1009.0,2026-01-25,Monitor,Electronics,Aurangabad,3.0,45000.0,6750.0,1.0,January,15.0
1010.0,2026-01-28,Bookshelf,Furniture,Mumbai,2.0,24000.0,3600.0,1.0,January,15.0
1011.0,2026-02-02,Keyboard,Electronics,Pune,6.0,12000.0,2400.0,2.0,February,20.0
1012.0,2026-02-05,Mouse,Electronics,Nashik,10.0,10000.0,2000.0,2.0,February,20.0
1013.0,2026-02-08,Desk,Furniture,Aurangabad,3.0,45000.0,6750.0,2.0,February,15.0
1014.0,2026-02-11,Notebook,Stationery,Mumbai,30.0,15000.0,3000.0,2.0,February,20.0
1015.0,2026-02-14,Smartwatch,Electronics,Pune,4.0,32000.0,6400.0,2.0,February,20.0
1016.0,2026-02-17,Cabinet,Furniture,Nashik,2.0,28000.0,4200.0,2.0,February,15.0
1017.0,2026-02-20,Tablet,Electronics,Mumbai,3.0,75000.0,11250.0,2.0,February,15.0
1018.0,2026-02-23,Marker Set,Stationery,Aurangabad,15.0,6000.0,1200.0,2.0,February,20.0
1019.0,2026-02-25,Webcam,Electronics,Pune,5.0,25000.0,5000.0,2.0,February,20.0
1020.0,2026-02-27,Sofa,Furniture,Mumbai,1.0,35000.0,5250.0,2.0,February,15.0
1021.0,2026-03-02,Mobile,Electronics,Nashik,2.0,60000.0,9000.0,3.0,March,15.0
1022.0,2026-03-05,Printer,Electronics,Pune,3.0,54000.0,8100.0,3.0,March,15.0
1023.0,2026-03-08,Office Chair,Furniture,Aurangabad,4.0,40000.0,6000.0,3.0,March,15.0
1024.0,2026-03-11,File Folder,Stationery,Mumbai,40.0,8000.0,1600.0,3.0,March,20.0
1025.0,2026-03-14,Laptop,Electronics,Nashik,1.0,60000.0,9000.0,3.0,March,15.0
1026.0,2026-03-17,Study Table,Furniture,Pune,3.0,36000.0,5400.0,3.0,March,15.0
1027.0,2026-03-20,Headphones,Electronics,Aurangabad,6.0,24000.0,4800.0,3.0,March,20.0
1028.0,2026-03-23,Pen Set,Stationery,Nashik,35.0,10500.0,2100.0,3.0,March,20.0
1029.0,2026-03-26,Monitor,Electronics,Mumbai,2.0,30000.0,4500.0,3.0,March,15.0
1030.0,2026-03-29,Bookshelf,Furniture,Pune,3.0,36000.0,5400.0,3.0,March,15.0
,,,,,,,,,,
